, ,,, ,,,Pune-PCMC Price, , , ,,,, , ,,, , ,,Pune-PCMC OUTSIDE LBT LIMIT PRICE,,,,,,
City,Model Name,Description,Type,EX-SHOWROOM PRICE,INS,RTO TAX,Registration Fees*,Registration Plate,3rd & 4th Yr. EXT. WARR,Auto Card,TOTAL,Comprehensive,Zero Dep,Zero dep + Eng Protect,Zero dep + Eng Protect + RTI,,EX-SHOWROOM PRICE,INS,RTO TAX,Registration Fees*,Registration Plate,3rd & 4th Yr. EXT. WARR,Auto Card,TOTAL,Comprehensive,Zero Dep,Zero dep + Eng Protect,Zero dep + Eng Protect + RTI
Pune-PMC,ERTIGA,MARUTI ERTIGA LXI,0,663616,22866,60920,550,256,8963,460,757632,17428.6,21054,22141,22866,,649632,22451,59636,550,256,8963,460,741948,17127.7,20676,21741,22451
Pune-PMC,ERTIGA,MARUTI ERTIGA LXI (O),0,701332,23987,64382,550,256,9538,460,800505,18240.3,22071,23221,23987,,686522,23547,63023,550,256,9538,460,783895,17921.5,21672,22797,23547
Pune-PMC,ERTIGA,MARUTI ERTIGA VXI,0,781006,26354,71696,550,256,10897,460,891220,19954.8,24221,25501,26354,,764477,25863,70179,550,256,10897,460,872682,19599.1,23775,25028,25863
Pune-PMC,ERTIGA,MARUTI ERTIGA GREEN VXI,0,845166,29170,43103,550,256,11792,460,930497,22245,26862,28247,29170,,827232,28618,42189,550,256,11792,460,911097,21839.7,26359,27714,28618
Pune-PMC,ERTIGA,MARUTI ERTIGA VXI AT,0,887451,29517,81468,550,256,12395,460,1012100,22245.5,27093,28548,29517,,868592,28957,79737,550,256,12395,460,990946,21839.7,26584,28008,28957
Pune-PMC,ERTIGA,MARUTI ERTIGA ZXI,0,840949,28135,77199,550,256,11785,460,959335,21244.8,25839,27217,28135,,823133,27606,75564,550,256,11785,460,939353,20861.4,25358,26707,27606
Pune-PMC,ERTIGA,MARUTI ERTIGA ZXI+,0,901634,29939,82770,550,256,12637,460,1028250,22550.8,27476,28954,29939,,882490,29370,81013,550,256,12637,460,1006780,22138.8,26959,28406,29370
Pune-PMC,ERTIGA,MARUTI ERTIGA LDI SHVS,0,799894,27178,89748,550,256,11004,460,929090,20361.3,24731,26304,27178,,782976,26669,87850,550,256,11004,460,909766,19997.3,24274,25814,26669
Pune-PMC,ERTIGA,MARUTI ERTIGA LDI SHVS (O),0,807065,27393,90553,550,256,11106,460,937382,20515.6,24924,26511,27393,,789991,26880,88637,550,256,11106,460,917879,20148.2,24464,26017,26880
Pune-PMC,ERTIGA,MARUTI ERTIGA VDI SHVS,0,872561,29361,97901,550,256,12027,460,1013120,21925.1,26691,28407,29361,,854077,28805,95827,550,256,12027,460,992003,21527.3,26193,27872,28805
Pune-PMC,ERTIGA,MARUTI ERTIGA ZDI SHVS,0,927348,31007,104048,550,256,12842,460,1076510,23104.1,28170,29993,31007,,907690,30416,101843,550,256,12842,460,1054060,22681.1,27639,29424,30416
Pune-PMC,ERTIGA,MARUTI ERTIGA ZDI+ SHVS,0,971513,32333,109004,550,256,13463,460,1127580,24054.6,29361,31272,32333,,950888,31714,106690,550,256,13463,460,1104020,23610.7,28805,30675,31714
